name,genre,search_url
Arrest Bill Gates,Business and finance,https://x.com/search?q=%22Arrest+Bill+Gates%22
#XRPHolders,Business and finance,https://x.com/search?q=%22#XRPHolders%22
$XRP,Business and finance,https://x.com/search?q=%22$XRP%22
The S&P 500,Business and finance,https://x.com/search?q=%22The+S&P+500%22
Saitama,Business and finance,https://x.com/search?q=%22Saitama%22
#RLUSD,Business and finance,https://x.com/search?q=%22#RLUSD%22
OpenAI,Technology,https://x.com/search?q=%22OpenAI%22
#rizzmas,Business and finance,https://x.com/search?q=%22#rizzmas%22
Claude,Technology,https://x.com/search?q=%22Claude%22
#XRPArmy,Business and finance,https://x.com/search?q=%22#XRPArmy%22
Zuckerberg,Technology,https://x.com/search?q=%22Zuckerberg%22
$ALGO,Business and finance,https://x.com/search?q=%22$ALGO%22
$ARMY,Business and finance,https://x.com/search?q=%22$ARMY%22
Small Business Saturday,Business and finance,https://x.com/search?q=%22Small+Business+Saturday%22
Fox Business,Business and finance,https://x.com/search?q=%22Fox+Business%22
